id,name,address,latitude,longitude,category,source,instagram_handle,instagram_url,tags,description
curated-the-jiyugaoka,the;自由が丘,東京都目黒区緑が丘2-17-12 T'S BRIGHTIA自由が丘 102号,35.6085625,139.6723125,coffee_shop,curated,@the_jiyugaoka,https://www.instagram.com/the_jiyugaoka/,atmosphere|cozy|quiet|specialty,緑が丘寄りで、空間の雰囲気と静かな時間を取りにいくときの候補。
curated-slow-stand,Slow Standard Coffee,東京都世田谷区奥沢2-46-6 自由が丘apartment 102,35.6075625,139.6759375,coffee_stand,curated,@slow_standard_coffee,https://www.instagram.com/slow_standard_coffee/,morning|specialty|cozy|quiet,奥沢2丁目の小さなコーヒーショップで、朝の一杯やテイクアウトに寄せやすい候補。
curated-cafe-skoll,Cafe Skoll,東京都目黒区自由が丘1-9-6 オハナビル 2F,35.6073125,139.6691875,coffee_shop,curated,＠cafe_skoll,https://www.instagram.com/cafe_skoll/,study|quiet|cozy|atmosphere,自由が丘中心から少し南にあり、作業と一人時間の両方に寄せやすい候補。
curated-ebony,EBONY COFFEE,東京都世田谷区奥沢6-28-4 ワイズニール自由ヶ丘 1F,35.6053125,139.6640625,both,curated,,,specialty|roastery|quiet|cozy,コーヒー豆販売の専門店（ロースター）です。イートイン・スペースやドリンクのテイクアウト等はございません落ち着いたロースター系候補。世界ハイエンドのスペシャルティコーヒーのみを扱う専門店
curated-stamp,STAMP COFFEE / スタンプコーヒー,東京都世田谷区奥沢5-31-20,35.6046875,139.6678125,coffee_stand,curated,@stamp_coffee_,https://www.instagram.com/stamp_coffee_,specialty|morning|cozy|atmosphere,九品仏南東側で、朝や軽い滞在に向くスタンド寄りの候補。
curated-miyachi-shoten,ミヤチ商店,東京都世田谷区奥沢5-1-4,35.6036875,139.6711875,coffee_stand,curated,@shop_miyachi,https://www.instagram.com/shop_miyachi/,morning|cozy|quiet|specialty,奥沢5丁目の小さなコーヒースタンドで、朝の一杯や短時間の立ち寄りに寄せやすい候補。
curated-utakata,UTAKATA COFFEE,東京都世田谷区奥沢5-14-31 クレインI 101,35.6031,139.6737,coffee_shop,curated,@utakata_coffee,https://www.instagram.com/utakata_coffee/,atmosphere|cozy|quiet|specialty,奥沢南東側で、雰囲気重視や静かな時間に寄せやすいコーヒー候補。
curated-enseigne-angle,カフェ・アンセーニュ・ダングル 自由が丘店,東京都目黒区自由が丘1-13-6 鳥井ビル1F,35.6080411,139.6702441,coffee_shop,curated,,,quiet|cozy|specialty|atmosphere,クラシカルな喫茶店文脈が強く、静かな会話や落ち着いた一杯を重視する入力に向く。
curated-mamocafe,Specialtycoffee&Food mamocafe,東京都目黒区緑が丘2-4-5,35.6081,139.6788,coffee_shop,curated,@mamo.cafe,https://www.instagram.com/mamo.cafe/,specialty|cozy|quiet|sweet,小さめの落ち着いた空気感で、スペシャルティ寄りの一杯を取りたいときの候補。
curated-latte-graphic,LATTE GRAPHIC 自由が丘店,東京都目黒区自由が丘1-8-18 自由が丘ノーブル 2F,35.6069375,139.6688125,coffee_shop,curated,@lattegraphic,https://www.instagram.com/lattegraphic/,spacious|study|morning|atmosphere,比較的入りやすく、会話や軽い作業の受け皿にもなりやすい大型寄りの候補。
curated-cafe-mozart,カフェ モーツァルト 自由が丘店,東京都目黒区自由が丘1-8-2 サウスゲートビル 2F,35.6082,139.6752,coffee_shop,curated,,,cozy|sweet|atmosphere|quiet,コーヒーとケーキのセット需要が強く、喫茶店ベクトルでゆっくり過ごしたいときに向く候補。
curated-usubane,usubane,東京都目黒区自由が丘2-12-19 B1,35.6071875,139.6674375,coffee_shop,curated,@usubane_jiyugaoka,https://www.instagram.com/usubane_jiyugaoka/,quiet|cozy|atmosphere|specialty,自由が丘西側で、雰囲気と静かな時間を重視したい入力に寄せやすい候補。
curated-royal-crystal,ロイヤルクリスタルコーヒー,東京都目黒区自由が丘2-16-3,35.6084375,139.6670625,coffee_shop,curated,@royalcrystalcoffee.cafe,https://www.instagram.com/royalcrystalcoffee.cafe/,quiet|cozy|atmosphere|sweet,落ち着いてゆっくり飲む方向に寄せやすい、クラシック寄りのコーヒー候補。
curated-stillpark,STILLPARK,東京都世田谷区奥沢4-5-4,35.5999375,139.6689375,coffee_shop,curated,@stillpark_coffee,https://www.instagram.com/stillpark_coffee/,cozy|quiet|atmosphere|morning,奥沢4丁目の小さめのコーヒーショップで、静かな時間を取りたいときに寄せやすい候補。
curated-relief-coffee-stand,Relief coffee stand,東京都世田谷区奥沢4-4-7 スカイハイツ奥沢 1F,35.5998125,139.6698125,coffee_stand,curated,@relief_coffee_stand,https://www.instagram.com/relief_coffee_stand/,morning|specialty|cozy|quiet,奥沢4丁目の小さなコーヒースタンドで、朝の一杯や短時間利用に寄せやすい候補。
curated-la-cialda,La Cialda -自由が丘カフェ-,東京都目黒区自由が丘1-25-9 1F,35.6095625,139.6688125,coffee_shop,curated,@cialda_jiyugaoka,https://www.instagram.com/cialda_jiyugaoka/,cozy|atmosphere|sweet|morning,自由が丘1丁目で入りやすく、軽食や一杯を気軽に取りたいときに寄せやすい候補。
curated-chilt,CHILT CAFESTAND & CRAFT,東京都世田谷区奥沢7-6-10,35.6075625,139.6646875,coffee_shop,curated,@chilt_cafe.craft/,https://www.instagram.com/chilt_cafe.craft/,atmosphere|cozy|quiet|specialty,九品仏から奥沢寄りの南側で、雰囲気重視や一人時間に寄せやすい候補。
curated-radio-plant,ラジオプラント,東京都世田谷区奥沢7-7-21 Casa Abierta 1階,35.6064375,139.6650625,coffee_shop,curated,@cafe-radioplant,https://jiyugaoka.net/cafe-radioplant,quiet|cozy|atmosphere|sweet,静かなジャズが流れる店内で、つい長居したくなるような居心地のよさがある喫茶寄りの候補。
