id,name,address,latitude,longitude,category,source,instagram_handle,instagram_url,tags,description,semantic_reasons
curated-crossing,クロッシング コーヒーロースターズ,東京都目黒区自由が丘1-14-1 Gタワー 1F,35.6096875,139.6701875,both,curated,@crossing_coffee_roasters,https://www.instagram.com/crossingcoffeeroastery/,roastery|specialty|morning|quiet,焙煎文脈が強く、豆も見たいときに寄せやすいロースター系候補です。,自由が丘1丁目の実在住所を確認|豆購入にも寄せやすい|ロースター志向
curated-la-boheme,カフェ ラ・ボエム 自由が丘,東京都目黒区自由が丘1-4-8 1F・2F,35.6083125,139.6709375,coffee_shop,curated,@boheme_jiyugaoka,https://www.instagram.com/boheme_jiyugaoka/,spacious|atmosphere|sweet|morning,席数と入りやすさがあり、会話や軽い滞在の受け皿になりやすい大型店です。,自由が丘1丁目の実在住所を確認|席に余裕がある|雰囲気重視に対応
curated-the-jiyugaoka,the;自由が丘,東京都目黒区緑が丘2-17-12 T'S BRIGHTIA自由が丘 102号,35.6085625,139.6723125,coffee_shop,curated,@the_jiyugaoka,https://www.instagram.com/the_jiyugaoka/,atmosphere|cozy|quiet|specialty,ペット同伴でスペシャルティコーヒーが味わえるカフェ＆バーラウンジ。,緑が丘2丁目の実在住所を確認|雰囲気重視に合う|静かな滞在向き
curated-slow-stand,Slow Standard Coffee,東京都世田谷区奥沢2-46-6 自由が丘apartment 102,35.6075625,139.6759375,coffee_stand,curated,@slow_standard_coffee,https://www.instagram.com/slow_standard_coffee/,morning|specialty|cozy|quiet,奥沢2丁目で落ち着いて過ごしやすく、焙煎や豆販売の文脈でも拾えるニーズにもおすすめのスペシャルティ候補です。,奥沢2丁目の実在住所を確認|豆販売にも寄せられる|落ち着いた空気感がある
curated-cafe-skoll,Cafe Skoll,東京都目黒区自由が丘1-9-6 オハナビル 2F,35.6073125,139.6691875,coffee_shop,curated,＠cafe_skoll,https://www.instagram.com/cafe_skoll/,study|quiet|cozy|atmosphere,自由が丘中心から少し南にあり、食事やスイーツと一緒にゆっくり過ごしやすいカフェ寄りの候補です。,自由が丘1丁目の実在住所を確認|カフェ利用に向く|落ち着いて過ごしやすい
curated-ebony,EBONY COFFEE,東京都世田谷区奥沢6-28-4 ワイズニール自由ヶ丘 1F,35.6053125,139.6640625,bean_store,curated,,,specialty|roastery|beans_only,店内提供やテイクアウトを行わない、焙煎豆専門のロースターです。,奥沢6丁目の実在住所を確認|焙煎豆専門|店内提供なしの豆販売専門店
curated-stamp,STAMP COFFEE / スタンプコーヒー,東京都世田谷区奥沢5-31-20,35.6046875,139.6678125,coffee_stand,curated,@stamp_coffee_,https://www.instagram.com/stamp_coffee_,specialty|morning|cozy|atmosphere,ハンドドリップのコーヒーと、シンプルなトーストメニューをいただけます。,奥沢5丁目の実在住所を確認|朝利用に向く|立ち寄りやすい
curated-miyachi-shoten,ミヤチ商店,東京都世田谷区奥沢5-1-4,35.6036875,139.6711875,coffee_stand,curated,@shop_miyachi,https://www.instagram.com/shop_miyachi/,coffee_stand|morning|cozy|quiet|specialty,奥沢5丁目の小さなコーヒースタンドで、朝の一杯や短時間の立ち寄りにおすすめです。,奥沢5丁目の実在住所を確認|小さなコーヒースタンド|朝利用に向く
curated-utakata,UTAKATA COFFEE,東京都世田谷区奥沢5-14-31 クレインI 101,35.6031,139.6737,coffee_shop,curated,@utakata_coffee,https://www.instagram.com/utakata_coffee/,atmosphere|cozy|quiet|specialty,奥沢南東側で、雰囲気重視や静かな時間に寄せやすいコーヒー候補です。,奥沢5丁目の実在住所を確認|雰囲気重視と相性|静かな時間に向く
curated-enseigne-angle,カフェ・アンセーニュ・ダングル 自由が丘店,東京都目黒区自由が丘1-13-6 鳥井ビル1F,35.6080411,139.6702441,coffee_shop,curated,,,quiet|cozy|specialty|atmosphere,クラシカルな喫茶店文脈が強く、静かな会話や落ち着いた一杯を重視したいときに向きます。,喫茶文脈が明確|静けさ重視と相性|自由が丘駅徒歩圏
curated-mamocafe,Specialtycoffee&Food mamocafe,東京都目黒区緑が丘2-4-5,35.6081,139.6788,coffee_shop,curated,@mamo.cafe,https://www.instagram.com/mamo.cafe/,specialty|cozy|quiet|sweet,小さめの落ち着いた空気感で、スペシャルティ寄りの一杯を取りたいときの候補です。,緑が丘2丁目の実在住所を確認|スペシャルティ志向|静かに過ごしやすい
curated-latte-graphic,LATTE GRAPHIC 自由が丘店,東京都目黒区自由が丘1-8-18 自由が丘ノーブル 2F,35.6069375,139.6688125,coffee_shop,curated,@lattegraphic,https://www.instagram.com/lattegraphic/,spacious|study|morning|atmosphere,比較的入りやすく、会話や軽い作業の受け皿にもなりやすい大型寄りの候補です。,自由が丘1丁目の実在住所を確認|席の余裕を取りやすい|作業利用と相性
curated-cafe-mozart,カフェ モーツァルト 自由が丘店,東京都目黒区自由が丘1-8-2 サウスゲートビル 2F,35.6082,139.6752,coffee_shop,curated,,,cozy|sweet|atmosphere|quiet,コーヒーとケーキのセット需要が強く、喫茶店ベクトルでゆっくり過ごしたいときに向く候補です。,自由が丘1丁目の実在住所を確認|ケーキセット需要が強い|喫茶寄りの滞在に向く
curated-usubane,usubane,東京都目黒区自由が丘2-12-19 B1,35.6071875,139.6674375,coffee_shop,curated,@usubane_jiyugaoka,https://www.instagram.com/usubane_jiyugaoka/,quiet|cozy|atmosphere|specialty,自由が丘西側で、雰囲気と静かな時間を重視したいときにおすすめです。,自由が丘2丁目の実在住所を確認|静かに過ごしやすい|雰囲気重視と相性
curated-royal-crystal,ロイヤルクリスタルコーヒー,東京都目黒区自由が丘2-16-3,35.6084375,139.6670625,coffee_shop,curated,@royalcrystalcoffee.cafe,https://www.instagram.com/royalcrystalcoffee.cafe/,quiet|cozy|atmosphere|sweet,落ち着いてゆっくり飲む方向に寄せやすい、クラシック寄りのコーヒー候補です。,自由が丘2丁目の実在住所を確認|ゆっくり過ごしやすい|喫茶寄りの雰囲気
curated-stillpark,STILLPARK,東京都世田谷区奥沢4-5-4,35.5999375,139.6689375,coffee_shop,curated,@stillpark_coffee,https://www.instagram.com/stillpark_coffee/,cozy|quiet|atmosphere|morning,奥沢4丁目の小さめのコーヒーショップで、静かな時間を取りたいときにおすすめです。,奥沢4丁目の実在住所を確認|小規模で落ち着いた雰囲気|静かな滞在向き
curated-relief-coffee-stand,Relief coffee stand,東京都世田谷区奥沢4-4-7 スカイハイツ奥沢 1F,35.5998125,139.6698125,coffee_stand,curated,@relief_coffee_stand,https://www.instagram.com/relief_coffee_stand/,morning|specialty|cozy|quiet,奥沢4丁目の小さなコーヒースタンドで、朝の一杯や短時間利用におすすめです。,奥沢4丁目の実在住所を確認|小さなコーヒースタンド|朝利用に向く
curated-la-cialda,La Cialda -自由が丘カフェ-,東京都目黒区自由が丘1-25-9 1F,35.6095625,139.6688125,coffee_shop,curated,@cialda_jiyugaoka,https://www.instagram.com/cialda_jiyugaoka/,cozy|atmosphere|sweet|morning,自由が丘1丁目で入りやすく、軽食や一杯を気軽に取りたいときにおすすめです。,自由が丘1丁目の実在住所を確認|入りやすいカフェ文脈|軽い滞在と相性
curated-chilt,CHILT CAFESTAND & CRAFT,東京都世田谷区奥沢7-6-10,35.6075625,139.6646875,coffee_shop,curated,@chilt_cafe.craft/,https://www.instagram.com/chilt_cafe.craft/,atmosphere|cozy|quiet|specialty,九品仏から奥沢寄りの南側で、雰囲気重視や一人時間におすすめです。,奥沢7丁目の実在住所を確認|静かな時間に向く|雰囲気重視と相性
curated-radio-plant,ラジオプラント,東京都世田谷区奥沢7-7-21 Casa Abierta 1階,35.6064375,139.6650625,coffee_shop,curated,@cafe-radioplant,https://jiyugaoka.net/cafe-radioplant,quiet|cozy|atmosphere|sweet,静かなジャズが流れる店内で、長居したくなるような居心地のよさがある喫茶寄りの候補です。,奥沢7丁目の実在住所を確認|静かなジャズと相性の良い空気感|ゆっくり長居しやすい
curated-alpha-beta-2,"アルファベータコーヒークラブ
自由が丘コンコード店",東京都目黒区自由が丘 2-9-24 自由が丘コンコード 1F,35.60985536,139.6681537,coffee_shop,curated,@abccoffeeclubjiyugaoka,https://www.instagram.com/abccoffeeclubjiyugaoka/,study|specialty|atmosphere|quiet,ハンドドリップと充実の軽食が魅力です。開放感ある店内のソファ席や、ペット可のテラスで会話を楽しみたい時に最適。,
